label,score
contradiction,0.823599100112915
neutral,0.857438325881958
contradiction,0.9996033310890198
neutral,0.8496054410934448
neutral,0.9652974009513855
contradiction,0.9005634188652039
contradiction,0.9975258708000183
entailment,0.8586260080337524
contradiction,0.9992519021034241
contradiction,0.9971652626991272
contradiction,0.9996013045310974
contradiction,0.9997891783714294
contradiction,0.9981829524040222
neutral,0.9982117414474487
contradiction,0.9956229329109192
contradiction,0.9937406182289124
contradiction,0.9991369843482971
neutral,0.7412640452384949
entailment,0.947541356086731
entailment,0.9745373725891113
neutral,0.6250379681587219
neutral,0.9962137341499329
contradiction,0.5070527791976929
neutral,0.9607638716697693
neutral,0.9965014457702637
contradiction,0.7127147912979126
contradiction,0.9796093106269836
neutral,0.987747311592102
neutral,0.9964095950126648
neutral,0.8683716058731079
neutral,0.8948234915733337
neutral,0.9590989351272583
neutral,0.9820560812950134
neutral,0.9853894114494324
contradiction,0.9411797523498535
contradiction,0.9651451110839844
neutral,0.8969506621360779
contradiction,0.9993252754211426
contradiction,0.8575581312179565
contradiction,0.850520670413971
contradiction,0.9989350438117981
neutral,0.8061560988426208
contradiction,0.9992445707321167
contradiction,0.9980050921440125
neutral,0.5725938081741333
neutral,0.9860687255859375
neutral,0.5222906470298767
contradiction,0.9985291957855225
contradiction,0.998976469039917
entailment,0.9828921556472778
contradiction,0.9915634393692017
contradiction,0.9986122846603394
contradiction,0.9995728135108948
entailment,0.9808710217475891
contradiction,0.9995704293251038
entailment,0.7166483402252197
neutral,0.7179156541824341
entailment,0.8636636734008789
contradiction,0.9993202686309814
contradiction,0.9997897744178772
neutral,0.9794908165931702
contradiction,0.9960801005363464
entailment,0.9258864521980286
contradiction,0.9996362924575806
entailment,0.9815529584884644
contradiction,0.9988501071929932
contradiction,0.9966578483581543
neutral,0.9947369694709778
contradiction,0.9497618079185486
contradiction,0.975338876247406
contradiction,0.9769555330276489
contradiction,0.9996198415756226
contradiction,0.9990353584289551
contradiction,0.921633243560791
entailment,0.9893602132797241
contradiction,0.998866081237793
contradiction,0.9829921126365662
contradiction,0.9940080642700195
contradiction,0.998766303062439
contradiction,0.9998034834861755
contradiction,0.5604309439659119
contradiction,0.9960135221481323
neutral,0.5098313093185425
contradiction,0.9272935390472412
contradiction,0.9997028708457947
contradiction,0.9568814039230347
neutral,0.8564548492431641
contradiction,0.7871344089508057
neutral,0.9981412887573242
neutral,0.9715238213539124
neutral,0.4295558035373688
contradiction,0.9759275913238525
contradiction,0.91753751039505
neutral,0.8494516015052795
neutral,0.9379821419715881
neutral,0.6902429461479187
contradiction,0.9998877048492432
contradiction,0.9991623163223267
contradiction,0.9996743202209473
contradiction,0.999315619468689
contradiction,0.7497443556785583
neutral,0.7342796921730042
contradiction,0.9962475895881653
neutral,0.7229512333869934
contradiction,0.9948853850364685
entailment,0.5019152164459229
neutral,0.9782673120498657
contradiction,0.9967893362045288
contradiction,0.9982289671897888
contradiction,0.9880347847938538
contradiction,0.9991994500160217
neutral,0.8151111006736755
contradiction,0.9997500777244568
contradiction,0.9996005892753601
neutral,0.6545660495758057
contradiction,0.9995317459106445
neutral,0.8207680583000183
contradiction,0.9998140931129456
contradiction,0.9834520220756531
contradiction,0.9576262831687927
contradiction,0.9986629486083984
neutral,0.970605194568634
contradiction,0.9992330074310303
neutral,0.9911195635795593
neutral,0.5307793021202087
contradiction,0.9780188798904419
neutral,0.9921791553497314
neutral,0.9778277277946472
neutral,0.9947827458381653
neutral,0.9320316314697266
entailment,0.745524525642395
contradiction,0.9750747680664062
contradiction,0.9928145408630371
contradiction,0.9992749094963074
contradiction,0.8706983327865601
contradiction,0.9970272183418274
contradiction,0.9975312948226929
contradiction,0.9989222288131714
neutral,0.8815695643424988
contradiction,0.9963476061820984
contradiction,0.7441379427909851
